Perovskite_composition_long_form,Perovskite_band_gap,formula
(1.3-Pr(NH3)2)0.5Pb1.0I3,1.62,
(5-AVA)0.05MA0.95PbI3,1.6,
(6-ACA)0.038MA0.962PbI3,1.59,
(C6H4NH2)CuBr2I,1.63,
(C6H4NH2)CuCl2I,2.01,
(DMA)0.025MA0.975PbI3,1.55,
(DMA)0.05MA0.95PbI3,1.55,
(DMA)0.075MA0.925PbI3,1.55,
(DMA)0.1MA0.9PbI3,1.55,
(PEA)0.03MA0.97PbI3,1.6,
(PEA)0.05MA0.95PbBr1.2I1.8,1.82,
(PEA)0.05MA0.95PbI3,1.6,
(PEA)0.1MA0.9PbI3,1.6,
(PEA)0.4MA0.6PbI3,1.6,
(PEA)0.5MA0.5PbI3,1.6,
(PEA)2PbI4,1.6,
(n-C3H7NH3)PbCl3,1.72,
AN0.015MA0.985PbI3,1.58,
AN0.03MA0.97PbI3,1.58,
AN0.06MA0.94PbI3,1.58,
AN0.09MA0.91PbI3,1.58,
AN0.15Cs0.5MA0.8PbI3,1.58,
AN0.15FA0.5MA0.8PbI3,1.58,
AN0.1MA0.9PbI3,1.58,
AN0.2MA0.8PbI3,1.58,
AN0.3MA0.7PbI3,1.58,
AN0.4MA0.6PbI3,1.58,
AN0.5MA0.5PbI3,1.58,
Ag0.152Bi3I9.5,1.86,
Ag0.153Bi3I10.5,1.86,
Ag0.15Bi4I11.5,1.86,
Ag2BiI5,1.86,
Ag3Bi2I9,1.86,
Ag3BiI6,1.86,
AgBi2I7,1.86,
AgBiI4,1.86,
BDACs2Pb3Br3I7,1.91,
BDACs3Pb4Br3.9I9.1,1.9,
BDACs4Pb5Br4.8I11.2,1.9,
BDACsPb2Br2.1I4.9,2.02,
Ba0.1K0.9Nb0.95Ni0.05O3,1.45,
Cs0.005Pb0.995Br3,2.29,
Cs0.01FA0.39MA0.6PbBr0.025I2.975,1.6,
Cs0.01MA0.99PbBr0.03I2.97,1.6,
Cs0.025FA0.475MA0.5Pb0.5Sn0.5I3,1.27,
Cs0.025FA0.7MA0.25Rb0.025PbI3,1.51,
Cs0.025FA0.825MA0.15PbBr0.45I2.55,1.651,
Cs0.02FA0.38MA0.6PbBr0.025I2.975,1.6,
Cs0.02MA0.98PbBr0.06I2.94,1.6,
Cs0.03FA0.37MA0.6PbBr0.025I2.975,1.6,
Cs0.03FA0.77MA0.2PbBr0.46I2.54,1.5,
Cs0.03FA0.81MA0.16PbBr0.50I2.50,1.63,
Cs0.03FA0.945MA0.025PbBr0.075I2.925,1.56,
Cs0.03FA0.97PbI3,1.553,
Cs0.03MA0.97PbBr0.09I2.91,1.6,
Cs0.04FA0.80MA0.16PbBr0.50I2.50,1.632,
Cs0.04FA0.80MA0.16PbBr0.51I2.49,1.61,
Cs0.04FA0.82MA0.14PbBr0.42I2.58,1.58,
Cs0.04FA0.8MA0.16PbBr0.49I2.51,1.62,
Cs0.05FA0.07MA0.25PbI3,1.51,
Cs0.05FA0.38MA0.57PbBr0.2I2.8,1.57,
Cs0.05FA0.45MA0.5Pb0.5Sn0.5I3,1.26,
Cs0.05FA0.49MA0.16PbBr0.51I2.49,1.73,
Cs0.05FA0.55MA0.4PbBr0.12I2.88,1.56,
Cs0.05FA0.57MA0.38PbI3,1.54,
Cs0.05FA0.5MA0.45Pb0.5Sn0.5I3,1.22,
Cs0.05FA0.65MA0.3PbBr0.15I2.85,1.55,
Cs0.05FA0.68MA0.26Pb0.75Sn0.25Br0.4I2.6,1.36,
Cs0.05FA0.70MA0.25PbI3,1.51,
Cs0.05FA0.75MA0.2PbI3,1.52,
Cs0.05FA0.76MA0.16PbBr0.49I2.51,1.6,
Cs0.05FA0.76MA0.19PbBr0.57I2.32,1.69,
Cs0.05FA0.76MA0.19PbBr0.6I2.4,1.59,
Cs0.05FA0.7885MA0.1441PbBr0.3I2.7,1.55,
Cs0.05FA0.7885MA0.1615PbBr0.3I2.7,1.55,
Cs0.05FA0.7885MA0.1615PbBr0.4845I2.51555,1.6,
Cs0.05FA0.7885MA0.1615PbBr0.51I2.49,1.57,
Cs0.05FA0.788GU0.032MA0.129PbBr0.51I2.49,1.605,
Cs0.05FA0.788GU0.065MA0.097PbBr0.51I2.49,1.615,
Cs0.05FA0.788GU0.097MA0.065PbBr0.51I2.49,1.63,
Cs0.05FA0.788MA0.162PbBr0.51I2.49,1.59,
Cs0.05FA0.78MA0.13PbBr0.45I2.55,1.6,
Cs0.05FA0.79MA0.160Pb1.0Br0.3I2.7,1.55,
Cs0.05FA0.79MA0.16Pb0.25Sn0.75Br0.5I2.5,1.3,
Cs0.05FA0.79MA0.16Pb0.58Sn0.42Br0.52I2.48,1.38,
Cs0.05FA0.79MA0.16Pb0.5Sn0.5Br0.5I2.5,1.31,
Cs0.05FA0.79MA0.16Pb0.664Sn0.336Br0.52I2.48,1.38,
Cs0.05FA0.79MA0.16Pb0.748Sn0.252Br0.52I2.48,1.38,
Cs0.05FA0.79MA0.16Pb0.75Sn0.25Br0.5I2.5,1.34,
Cs0.05FA0.79MA0.16Pb0.832Sn0.168Br0.52I2.48,1.38,
Cs0.05FA0.79MA0.16Pb0.84Sn0.84Br0.52I2.48,1.38,
Cs0.05FA0.79MA0.16Pb0.916Sn0.084Br0.52I2.48,1.38,
Cs0.05FA0.79MA0.16Pb1.1Br0.51I2.49,1.59,
Cs0.05FA0.79MA0.16PbBr0.31I2.7,1.59,
Cs0.05FA0.79MA0.16PbBr0.39I2.61,1.59,
Cs0.05FA0.79MA0.16PbBr0.3I2.7,1.57,
Cs0.05FA0.79MA0.16PbBr0.45I2.55,1.6,
Cs0.05FA0.79MA0.16PbBr0.47I2.53,1.59,
Cs0.05FA0.79MA0.16PbBr0.48I2.52,1.55,
Cs0.05FA0.79MA0.16PbBr0.50I2.5,1.63,
Cs0.05FA0.79MA0.16PbBr0.51I2.49,1.63,
Cs0.05FA0.79MA0.16PbBr0.52I2.48,1.38,
Cs0.05FA0.79MA0.16PbBr0.5I2.5,1.5,
Cs0.05FA0.79MA0.16PbBr1.2I2.6,1.71,
Cs0.05FA0.79MA0.16PbBr1.5I1.5,1.85,
Cs0.05FA0.79MA0.16PbBr2.51I2.49,1.63,
Cs0.05FA0.79MA0.16PbBrI2,1.61,
Cs0.05FA0.79MA0.16PbCs0.49FA2.51MA,1.63,
Cs0.05FA0.79MA0.16PbI3,1.54,
Cs0.05FA0.79MA0.16SnBr0.5I2.5,1.45,
Cs0.05FA0.8075MA0.1425PbBr0.45I2.55,1.6,
Cs0.05FA0.80MA0.15PbBr0.45I2.55,1.59,
Cs0.05FA0.81MA0.14Pb0.95Br0.43I2.42,1.64,
Cs0.05FA0.81MA0.14PbBr0.39I2.61,1.59,
Cs0.05FA0.81MA0.14PbBr0.42I2.58,1.61,
Cs0.05FA0.81MA0.14PbBr0.45I2.55,1.63,
Cs0.05FA0.81MA0.14PbBr0.4I2.6,1.61,
Cs0.05FA0.81MA14PbBr0.45I2.55,1.59,
Cs0.05FA0.83MA0.12PbBr0.36I2.64,1.61,
Cs0.05FA0.83MA0.12PbBr0.39I2.61,1.6,
Cs0.05FA0.83MA0.12PbBr0.49I2.51,1.6,
Cs0.05FA0.83MA0.12PbBr0.51I2.49,1.63,
Cs0.05FA0.83MA0.17PbBr0.51I2.49,1.6,
Cs0.05FA0.85MA0.15PbBr0.45I2.55,1.58,
Cs0.05FA0.85MA0.1PbBr0.03I2.97,1.598,
Cs0.05FA0.85MA0.1PbBr0.45I2.45,1.59,
Cs0.05FA0.85MA0.1PbBr3.0,2.28,
Cs0.05FA0.8MA0.15PbBr0.15I2.85,1.617,
Cs0.05FA0.8MA0.15PbBr0.45I2.55,1.6,
Cs0.05FA0.8MA0.15PbBr0.55I2.55,1.61,
Cs0.05FA0.91MA0.04PbBr0.15I2.85,1.54,
Cs0.05FA0.94MA0.01PbBr0.03I2.97,1.55,
Cs0.05FA0.95PbBr0.15I2.85,1.55,
Cs0.05FA0.95PbI3,1.54,
Cs0.05MA0.95PbBr1.2I1.8,1.82,
Cs0.05MA0.95PbI3,1.51,
Cs0.05MA095PbI3,1.61,
Cs0.0664FA0.666MA0.2668PbBr0.095I0.905,1.63,
Cs0.0664FA0.666MA0.2668PbBr0.256I0.744,1.71,
Cs0.0664FA0.8668MA0.0664PbBr0.095I0.905,1.63,
Cs0.0664FA0.8668MA0.0664PbBr0.256I0.744,1.7,
Cs0.06FA0.78MA0.16PbBr0.51I2.49,1.63,
Cs0.06FA0.79MA0.15PbBr0.45I2.55,1.61,
Cs0.06FA0.79MA0.15PbBr1.8I1.2,1.78,
Cs0.06FA79MA0.15PbBr0.45I2.55,1.64,
Cs0.07FA0.73MA0.20PbBr0.47I2.53,1.6,
Cs0.07FA0.77MA0.16PbBr0.50I2.50,1.639,
Cs0.07FA0.785MA0.115PbBr0.45I2.55,1.58,
Cs0.07FA0.78MA0.15PbBr0.45I2.55,1.61,
Cs0.07FA0.79MA0.14PbBr0.45I2.55,1.5,
Cs0.07FA0.89GU0.02PbI3,1.53,
Cs0.07FA0.93PbBr0.15I2.85,1.62,
Cs0.07FA0.93PbI3,1.54,
Cs0.085FA0.915PbBr0.45I2.55,1.625,
Cs0.08FA0.55MA0.37PbI3,1.53,
Cs0.08FA0.76MA15PbBr0.51I2.49,1.62,
Cs0.08FA0.77MA0.15PbBr0.51I2.49,1.6,
Cs0.08FA0.78MA0.14PbBr0.42I2.38,1.61,
Cs0.08FA0.78MA0.14PbBr0.42I2.58,1.61,
Cs0.08FA0.92PbI3,1.51,
Cs0.09FA0.58MA0.33PbBr0.65I2.35,1.59,
Cs0.09MA0.91PbI3,1.59,
Cs0.10FA0.75MA0.15PbBr0.51I2.49,1.63,
Cs0.10FA0.81MA0.09PbBr0.03I2.97,1.6,
Cs0.10FA0.83MA0.07PbBr0.51I2.49,1.63,
Cs0.10MA0.90PbI3,1.54,
Cs0.11MA0.89PbI3,1.62,
Cs0.125FA0.875PbBr0.375I2.625,1.57,
Cs0.12FA0.5MA0.38PbBr0.96I2.04,1.72,
Cs0.12FA0.83MA0.05PbBr1.2I1.8,1.74,
Cs0.133FA0.733MA0.133PbBr0.095I0.905,1.65,
Cs0.133FA0.733MA0.133PbBr0.256I0.744,1.71,
Cs0.13FA0.72MA0.16PbBr0.51I2.49,1.63,
Cs0.13FA0.87PbBr0.39I2.61,1.56,
Cs0.13FA0.87PbBrI2,1.72,
Cs0.14FA0.83MA0.03PbBr0.51I2.49,1.63,
Cs0.15(DMA)0.85MA0.15PbI3,1.67,
Cs0.15FA0.65MA0.20PbBr0.6I2.4,1.68,
Cs0.15FA0.71MA0.14PbBr0.9I2.1,1.7,
Cs0.15FA0.75MA0.1PbBr0.1I2.9,1.57,
Cs0.15FA0.75MA0.1PbI3,1.554,
Cs0.15FA0.76MA0.09PbBr0.03I2.97,1.599,
Cs0.15FA0.85Pb0.375Sn0.625I3,1.24,
Cs0.15FA0.85PbBr0.12I2.88,1.6,
Cs0.15FA0.85PbBr0.15I2.85,1.55,
Cs0.15FA0.85PbBr0.3I2.7,1.55,
Cs0.15FA0.85PbBr0.45I2.55,1.48,
Cs0.15FA0.85PbBr0.81I2.19,1.72,
Cs0.15FA0.85PbBr0.87I2.13,1.72,
Cs0.15FA0.85PbBr0.9I2.1,1.72,
Cs0.15FA0.85PbBr2.1I0.9,2,
Cs0.15FA0.85PbI3,1.54,
Cs0.15FA0.8GA0.05PbBr0.45I2.55,1.625,
Cs0.15MA0.85PbBr0.45I2.55,1.66,
Cs0.15MA0.85PbBr1.2I1.8,1.82,
Cs0.15MA0.85PbI3,1.59,
Cs0.16FA0.8MA0.04PbBr1.5I1.5,1.82,
Cs0.16FA0.8MA0.04PbBr1.71I1.29,1.89,
Cs0.16FA0.8MA0.04PbBr1.83I1.17,1.91,
Cs0.17FA0.75MA0.08PbBr0.39I2.61,1.61,
Cs0.17FA0.83MAPbBr0.519I2.49,1.64,
Cs0.17FA0.83Pb0.3Sn0.7I3,1.25,
Cs0.17FA0.83Pb0.4Sn0.6I3,1.25,
Cs0.17FA0.83Pb0.5Sn0.5I3,1.26,
Cs0.17FA0.83Pb0.6Sn0.4I3,1.27,
Cs0.17FA0.83Pb0.7Sn0.3I3,1.32,
Cs0.17FA0.83Pb0.8Sn0.2I3,1.34,
Cs0.17FA0.83Pb0.95Sn0.05I3,1.45,
Cs0.17FA0.83Pb0.98Sn0.02I3,1.51,
Cs0.17FA0.83Pb0.995Sn0.005I3,1.52,
Cs0.17FA0.83Pb0.99999Sn0.00001I3,1.51,
Cs0.17FA0.83Pb0.9999Sn0.0001I3,1.52,
Cs0.17FA0.83Pb0.999Sn0.001I3,1.51,
Cs0.17FA0.83Pb0.99Sn0.01I3,1.52,
Cs0.17FA0.83Pb0.9Sn0.1I3,1.41,
Cs0.17FA0.83PbBr0.17I0.83,1.6,
Cs0.17FA0.83PbBr0.51I2.49,1.6,
Cs0.17FA0.83PbBr0.6I2.4,1.61,
Cs0.17FA0.83PbBr0.75I2.25,1.68,
Cs0.17FA0.83PbBr0.81I2.19,1.7,
Cs0.17FA0.83PbBr0.8I2.2,1.72,
Cs0.17FA0.83PbBr1.2I1.8,1.72,
Cs0.17FA0.83PbBr1.2I2.8,1.75,
Cs0.17FA0.83PbBr1.5I1.5,1.86,
Cs0.17FA0.83PbBr1.8I1.2,1.93,
Cs0.17FA0.83PbBrI2,1.67,
Cs0.17FA0.83PbI3,1.56,
Cs0.17MA0.83PbI3,1.633,
Cs0.18FA0.82PbBr0.24I2.82,1.55,
Cs0.18FA0.83PbBrI2,1.73,
Cs0.1FA0.1MA0.8PbI3,1.5,
Cs0.1FA0.2MA0.7PbI3,1.62,
Cs0.1FA0.36MA0.54PbBr0.2I2.8,1.59,
Cs0.1FA0.54MA0.36PbI3,1.51,
Cs0.1FA0.6MA0.3PbBr0.095I0.905,1.64,
Cs0.1FA0.6MA0.3PbBr0.256I0.744,1.7,
Cs0.1FA0.747MA0.153PbBr0.51I2.49,1.73,
Cs0.1FA0.74MA0.1530PbBr0.51I2.49,1.61,
Cs0.1FA0.75MA0.15Pb0.25Sn0.75Br0.5I2.5,1.29,
Cs0.1FA0.75MA0.15Pb0.5Sn0.5Br0.5I2.5,1.31,
Cs0.1FA0.75MA0.15Pb0.75Sn0.25Br0.5I2.5,1.36,
Cs0.1FA0.75MA0.15PbBr0.45I2.55,1.63,
Cs0.1FA0.75MA0.15PbBr0.51I2.49,1.63,
Cs0.1FA0.75MA0.15PbBr0.55I2.55,1.63,
Cs0.1FA0.75MA0.15PbBr0.5I2.5,1.59,
Cs0.1FA0.75MA0.15PbBrI2,1.73,
Cs0.1FA0.75MA0.15SnBr0.5I2.5,1.44,
Cs0.1FA0.75MA0.24PbBr0.51I2.49,1.61,
Cs0.1FA0.765MA0.135PbBr0.45I2.55,1.611,
Cs0.1FA0.76MA0.14PbBr0.51I2.49,1.61,
Cs0.1FA0.76MA0.14PbBr0.55I2.55,1.61,
Cs0.1FA0.81MA0.09PbBr0.1I2.9,1.55,
Cs0.1FA0.85MA0.15PbBr0.45I2.55,1.611,
Cs0.1FA0.9PbBr0.095I0.905,1.56,
Cs0.1FA0.9PbBr0.09I2.91,1.54,
Cs0.1FA0.9PbBr0.1I2.9,1.55,
Cs0.1FA0.9PbBr0.256I0.744,1.72,
Cs0.1FA0.9PbBr0.3I2.7,1.48,
Cs0.1FA0.9PbBr0.6I2.4,1.61,
Cs0.1FA0.9PbBr0.9I2.1,1.7,
Cs0.1FA0.9PbBr3,2.277,
Cs0.1FA0.9PbI,1.54,
Cs0.1FA0.9PbI3,1.48,
Cs0.1MA0.9Pb0.25Sn0.75I3,1.26,
Cs0.1MA0.9Pb0.5Sn0.5I3,1.28,
Cs0.1MA0.9Pb0.75Sn0.25I3,1.39,
Cs0.1MA0.9Pb0.7Sn0.255I3,1.39,
Cs0.1MA0.9PbBr1.2I1.8,1.82,
Cs0.1MA0.9PbBrI2,1.77,
Cs0.1MA0.9PbI3,1.61,
Cs0.1MA0.9SnI3,1.2,
Cs0.20MA0.80PbI3,1.57,
Cs0.23MA0.77PbI3,1.644,
Cs0.25FA0.75Pb0.37Sn0.6255I3,1.24,
Cs0.25FA0.75Pb0.5Sn0.5I3,1.2,
Cs0.25FA0.75PbBr0.3I2.7,1.57,
Cs0.25FA0.75PbBr0.51I2.49,1.63,
Cs0.25FA0.75PbBr0.60I2.40,1.7,
Cs0.25FA0.75PbBr0.6I2.4,1.68,
Cs0.25FA0.75PbBr0.9I2.1,1.73,
Cs0.25FA0.75PbI3,1.54,
Cs0.2668FA0.666MA0.0664PbBr0.095I0.905,1.65,
Cs0.2668FA0.666MA0.0664PbBr0.256I0.744,1.71,
Cs0.2FA0.2MA0.6PbI3,1.64,
Cs0.2FA0.32MA0.48PbBr0.2I2.8,1.607,
Cs0.2FA0.65MA0.15PbBr0.55I2.55,1.85,
Cs0.2FA0.664MA0.336PbBr1.05I1.95,1.77,
Cs0.2FA0.66MA0.14Pb0.25Sn0.75Br0.5I2.5,1.28,
Cs0.2FA0.66MA0.14Pb0.5Sn0.5Br0.5I2.5,1.31,
Cs0.2FA0.66MA0.14Pb0.75Sn0.25Br0.5I2.5,1.38,
Cs0.2FA0.66MA0.14PbBr0.5I2.5,1.6,
Cs0.2FA0.66MA0.14SnBr0.5I2.5,1.42,
Cs0.2FA0.6MA0.2PbBr0.095I0.905,1.64,
Cs0.2FA0.6MA0.2PbBr0.256I0.744,1.7,
Cs0.2FA0.72MA0.08PbBr0.03I2.97,1.62,
Cs0.2FA0.75MA0.05PbBr0.51I2.49,1.63,
Cs0.2FA0.8Pb0.25Sn0.75I3,1.2,
Cs0.2FA0.8Pb0.3Sn0.7I3,1.35,
Cs0.2FA0.8Pb0.5Sn0.5I3,1.3,
Cs0.2FA0.8Pb0.75Sn0.25I3,1.35,
Cs0.2FA0.8PbBr0.095I0.905,1.65,
Cs0.2FA0.8PbBr0.256I0.744,1.71,
Cs0.2FA0.8PbBr0.6I2.4,1.48,
Cs0.2FA0.8PbBr0.75I2.25,1.67,
Cs0.2FA0.8PbBr0.9I2.1,1.75,
Cs0.2FA0.8PbBr1.05I1.95,1.76,
Cs0.2FA0.8PbBr1.2I1.8,1.82,
Cs0.2FA0.8PbBr1.5I1.5,1.82,
Cs0.2FA0.8PbI3,1.59,
Cs0.2FA0.8SnI3,1.2,
Cs0.2MA0.8Pb0.5Sn0.5I3,1.3,
Cs0.2MA0.8PbI3,1.62,
Cs0.30FA0.70PbI3,1.58,
Cs0.30MA0.70PbI3,1.58,
Cs0.32FA0.58GA0.1PbBr0.81I2.19,1.75,
Cs0.32FA0.58GU0.1PbBr0.81I2.19,1.75,
Cs0.34MA0.66PbI3,1.652,
Cs0.3FA0.2MA0.5PbI3,1.64,
Cs0.3FA0.6MA0.1PbBr0.095I0.905,1.65,
Cs0.3FA0.6MA0.1PbBr0.256I0.744,1.72,
Cs0.3FA0.7Pb0.7Sn0.3I3,1.3,
Cs0.3FA0.7PbBr0.095I0.905,1.63,
Cs0.3FA0.7PbBr0.15I2.85,1.62,
Cs0.3FA0.7PbBr0.256I0.744,1.72,
Cs0.3FA0.7PbBr3,2.287,
Cs0.3FA0.7PbI3,1.523,
Cs0.3MA0.7Pb0.5Sn0.5I3,1.28,
Cs0.40MA0.60PbI3,1.62,
Cs0.45FA0.55PbBr0.15I2.85,1.62,
Cs0.4FA0.2MA0.4PbI3,1.64,
Cs0.4FA0.6PbBr0.095I0.905,1.61,
Cs0.4FA0.6PbBr0.256I0.744,1.65,
Cs0.4FA0.6PbBr0.9I2.1,1.76,
Cs0.4FA0.6PbBr1.05I1.95,1.8,
Cs0.5FA0.4MA0.1PbBr0.51I2.49,1.7,
Cs0.5FA0.5PbBr0.51I2.49,1.62,
Cs0.5FA0.75MA0.1PbBr0.51I2.49,1.63,
Cs0.60MA0.40PbI3,1.68,
Cs0.79FA0.16MA0.1PbBrI2,1.73,
Cs0.80K0.20PbBr3,2.29,
Cs0.80MA0.20PbI3,1.72,
Cs0.84K0.16PbBr3,2.24,
Cs0.85Rb0.15PbBr3,2.24,
Cs0.88FA0.12PbI3,1.51,
Cs0.88K0.12PbBr3,2.25,
Cs0.88Na0.12PbBr3,2.24,
Cs0.88Rb0.12PbBr3,2.24,
